drug_name,Présentation,Dosage,Distributeur ou fabriquant,Composition,Classe thérapeutique,Statut,Code ATC,PPV,Prix hospitalier,Tableau,Notice en français,Nature du Produit,Indication(s),Substance (s) psychoactive (s),Princeps,Mises en garde,Contres-indication(s),Posologies et mode d'administration,Risque potentiel de dépendance ou d’abus,PPC,Boîte,Grossesse,Allaitement,Effets indésirable,Conservation,Lien du Produit,Laboratoire détenteur de l'AMM dans le pays d'origine,Age minimal d'utilisation,Particularité,AO,Export,Tiers Payant,Convention de Vienne,RCP,Liens de redirection,Notice en arabe
"ADMOXEL 80 MG / 2 ML, Solution à diluer et solvant pour perfusion",Flacon de 10 ML,80 MG / 2 ML,ISIO LABORATOIRE,DOCETAXEL,"Cytostatique, taxanes",Commercialisé,L01CD02,2520.00 dhs,2183.00 dhs,A,,,"Cancer du sein
Docetaxel en association à la doxorubicine et au cyclophosphamide est indiqué dans le traitement
adjuvant du :

• cancer du sein opérable, chez des patients présentant un envahissement ganglionnaire
• cancer du sein opérable, chez des patients ne présentant pas d’envahissement ganglionnaire

Pour des patients opérables ne présentant pas d’envahissement ganglionnaire, le traitement adjuvant devra être restreint aux patients éligibles à une chimiothérapie selon les critères internationalement établis pour le traitement initial du cancer du sein précoce.

Docetaxel en association à la doxorubicine est indiqué dans le traitement du cancer du sein localement avancé ou métastatique chez les patientes n'ayant pas reçu de chimiothérapie cytotoxique antérieure dans cette affection.

Docetaxel est indiqué en monothérapie dans le traitement des patientes atteintes d'un cancer du sein localement avancé ou métastatique après échec d'une chimiothérapie cytotoxique, ayant comporté une anthracycline ou un agent alkylant.

Docetaxel en association au trastuzumab est indiqué dans le traitement du cancer du sein métastatique avec sur-expression tumorale de HER2, chez les patients non prétraités par chimiothérapie pour leur maladie métastatique.

Docetaxel en association à la capécitabine est indiqué dans le traitement du cancer du sein localement avancé ou métastatique après échec d’une chimiothérapie cytotoxique ayant comporté une anthracycline.

Cancer du poumon non à petites cellules
Docetaxel est indiqué dans le traitement du cancer bronchique non à petites cellules localement avancé ou métastatique, après échec d'une chimiothérapie antérieure.

Docetaxel en association au cisplatine est indiqué dans le traitement du cancer bronchique non à petites cellules non résécable, localement avancé ou métastatique, chez les patients n'ayant pas reçu de chimiothérapie antérieure dans cette indication.

Cancer de la prostate
Docetaxel en association à la prednisone ou à la prednisolone est indiqué dans le traitement du cancer de la prostate métastatique résistant à la castration.

Docetaxel en association à un traitement antiandrogénique (ADT), avec ou sans prednisone ou prednisolone, est indiqué dans le traitement du cancer de la prostate métastatique hormono-sensible.

Cancer gastrique
Docetaxel, en association avec le cisplatine et le 5-fluorouracile est indiqué dans le traitement de l’adénocarcinome gastrique métastatique, y compris l’adénocarcinome de la jonction œsogastrique, chez les patients non prétraités par chimiothérapie pour leur maladie métastatique.

Cancer des voies aéro-digestives supérieures
Docetaxel en association avec le cisplatine et le 5-fluorouracile est indiqué dans le traitement d’induction des carcinomes épidermoïdes localement avancés des voies aéro-digestives supérieures.",,,,,,,,,,,,,,,,,,,,,,,
"ADO 1000 MG, Comprimé pelliculé",Boite de 30,1000 MG,PHARMA5,Metformine,"Antidiabétique, biguanide",Commercialisé,A10BA02,19.90 dhs,12.40 dhs,A,,Médicament,"Traitement du diabète de type 2, notamment chez les patients en excès pondéral, lorsque le régime alimentaire et l'activité physique ne suffisent pas à normaliser la glycémie. Glucophage peut être utilisé en monothérapie ou en association avec d'autres antidiabétiques oraux ou de l'insuline.

En complément d'une insulinothérapie de diabète de type 1, notamment en présence d'une résistance secondaire à l'insuline, lorsqu'un traitement par l'insuline ne permet pas de contrôler suffisamment la glycémie.",,,,,,,,,,,,,,,,,,,,,,,
"ADO 1000 MG, Comprimé pelliculé",Boite de 60,1000 MG,PHARMA5,Metformine,"Antidiabétique, biguanide",Commercialisé,A10BA02,35.00 dhs,21.90 dhs,A,,Médicament,"Traitement du diabète de type 2, notamment chez les patients en excès pondéral, lorsque le régime alimentaire et l'activité physique ne suffisent pas à normaliser la glycémie. Glucophage peut être utilisé en monothérapie ou en association avec d'autres antidiabétiques oraux ou de l'insuline.

En complément d'une insulinothérapie de diabète de type 1, notamment en présence d'une résistance secondaire à l'insuline, lorsqu'un traitement par l'insuline ne permet pas de contrôler suffisamment la glycémie.",,,,,,,,,,,,,,,,,,,,,,,
"ADO 1000 MG, Comprimé pelliculé",Boite de 90,1000 MG,PHARMA5,Metformine,"Antidiabétique, biguanide",Commercialisé,A10BA02,43.30 dhs,27.10 dhs,A,,Médicament,"Traitement du diabète de type 2, notamment chez les patients en excès pondéral, lorsque le régime alimentaire et l'activité physique ne suffisent pas à normaliser la glycémie. Glucophage peut être utilisé en monothérapie ou en association avec d'autres antidiabétiques oraux ou de l'insuline.

En complément d'une insulinothérapie de diabète de type 1, notamment en présence d'une résistance secondaire à l'insuline, lorsqu'un traitement par l'insuline ne permet pas de contrôler suffisamment la glycémie.",,,,,,,,,,,,,,,,,,,,,,,
"ADO 500 MG, Comprimé pelliculé",Boîte de 50,500 MG,PHARMA5,Metformine,"Antidiabétique, biguanide",Commercialisé,A10BA02,17.50 dhs,10.90 dhs,A,,Médicament,"Traitement du diabète de type 2, notamment chez les patients en excès pondéral, lorsque le régime alimentaire et l'activité physique ne suffisent pas à normaliser la glycémie. Glucophage peut être utilisé en monothérapie ou en association avec d'autres antidiabétiques oraux ou de l'insuline.

En complément d'une insulinothérapie de diabète de type 1, notamment en présence d'une résistance secondaire à l'insuline, lorsqu'un traitement par l'insuline ne permet pas de contrôler suffisamment la glycémie.",,,,,,,,,,,,,,,,,,,,,,,
"ADO 850 MG, Comprimé pelliculé",Boîte de 30,850 MG,PHARMA5,Metformine,"Antidiabétique, biguanide",Commercialisé,A10BA02,19.00 dhs,11.90 dhs,A,,Médicament,"Traitement du diabète de type 2, notamment chez les patients en excès pondéral, lorsque le régime alimentaire et l'activité physique ne suffisent pas à normaliser la glycémie. Glucophage peut être utilisé en monothérapie ou en association avec d'autres antidiabétiques oraux ou de l'insuline.

En complément d'une insulinothérapie de diabète de type 1, notamment en présence d'une résistance secondaire à l'insuline, lorsqu'un traitement par l'insuline ne permet pas de contrôler suffisamment la glycémie.",,,,,,,,,,,,,,,,,,,,,,,
"ADO 850 MG, Comprimé pelliculé",Boîte de 60,850 MG,PHARMA5,Metformine,"Antidiabétique, biguanide",Commercialisé,A10BA02,34.00 dhs,21.20 dhs,A,,Médicament,"Traitement du diabète de type 2, notamment chez les patients en excès pondéral, lorsque le régime alimentaire et l'activité physique ne suffisent pas à normaliser la glycémie. Glucophage peut être utilisé en monothérapie ou en association avec d'autres antidiabétiques oraux ou de l'insuline.

En complément d'une insulinothérapie de diabète de type 1, notamment en présence d'une résistance secondaire à l'insuline, lorsqu'un traitement par l'insuline ne permet pas de contrôler suffisamment la glycémie.",,,,,,,,,,,,,,,,,,,,,,,
"ADRENALINE SOTHEMA 0.25 MG / ML, Solution injectable",Boite de 100 ampoules de 1 ML,0.25 MG / ML,SOTHEMA,Adrenaline,,Commercialisé,,268.00 dhs,168.00 dhs,A,,,,,,,,,,,,,,,,,,,,,,,,,,
"ADRONAT 70 MG, Comprimé",Boite de 4,70 MG,BOTTU S.A.,Alendronat,"Régulateur du métabolisme osseux, bisphosphonate",Commercialisé,M05BA04,164.50 dhs,102.80 dhs,A,,Médicament,"Traitement de l'ostéoporose post-ménopausique.
L'alendronate réduit le risque de fractures vertébrales et de la hanche.",,,,,,,,,,,,,,,,,,,,,,,
"ADVAQUENIL 200 MG, Comprimé enrobé",Boite de 30,200 MG,PROMOPHARM (HIKMA),Hydroxychloroquine,Antipaludéen / médicament antirhumatismal,Commercialisé,P01BA02,40.60 dhs,25.30 dhs,C,,,"Adultes :

· Traitement symptomatique d'action lente de la polyarthrite rhumatoïde.
· Lupus érythémateux discoïde.
· Lupus érythémateux subaigu.
· Traitement d'appoint ou prévention des rechutes des lupus systémiques.
· Prévention des lucites.

Enfants de plus de 6 ans (et d’au moins 31 kg de poids corporel idéal) et adolescents :

· Traitement de l’arthrite juvénile idiopathique (en association avec d’autres traitements).
· Lupus érythémateux discoïde.
· Lupus érythémateux subaigu.
· Traitement d'appoint ou prévention des rechutes des lupus systémiques.",,,,,,,,,,,,,,,,,,,,,,,
"AERIUS 5 MG, Comprimé pelliculé",Boîte de 7,5 MG,PHI,Desloratadine,Antihistaminiques H1,Commercialisé,R06AX27,25.00 dhs,15.60 dhs,C,,Médicament,"Traitement symptomatique de la rhinite allergique.
Traitement symptomatique de l'urticaire.",,Oui,,,,,,,,,,,,MSD,,,,,,,,,
"AERIUS 5 MG, Comprimé pelliculé",Boîte de 15,5 MG,PHI,Desloratadine,Antihistaminiques H1,Commercialisé,R06AX27,51.70 dhs,32.20 dhs,,,Médicament,"Traitement symptomatique de la rhinite allergique.
Traitement symptomatique de l'urticaire.",,Oui,,,,,,,,,,,,MSD,,,,,,,,,
"AERIUS 5 MG, Comprimé pelliculé",Boîte de 30,5 MG,PHI,Desloratadine,Antihistaminiques H1,Commercialisé,R06AX27,95.90 dhs,59.90 dhs,C,,Médicament,"Traitement symptomatique de la rhinite allergique.
Traitement symptomatique de l'urticaire.",,Oui,,,,,,,,,,,,MSD,,,,,,,,,
"AÉROMAX 100 µg, Suspension pour pulvérisation nasale",Flacon de 200 doses,100 µg,STERIPHARMA,Budésonide,"Antiasthmatique, glucocorticoïde",Commercialisé,R03BA02,177.60 dhs,111.00 dhs,A,,Médicament,"Traitement continu anti inflammatoire de l'asthme persistant*.

*l’asthme persistant se définit par l’existence de symptômes diurnes plurihebdomadaires et/ou de symptômes nocturnes plus de 2 fois par mois.

Remarque : cette spécialité est particulièrement adaptée aux sujets chez qui il a été mis en évidence une mauvaise synchronisation main/poumon nécessaire pour une utilisation correcte des aérosols doseurs classiques sans chambre d’inhalation.",,,,,,,,,,,,,,,,,,,,,,,
"AERRANE, Liquide pour inhalation [P]",Flacon de 250 ml,,AFRIC-PHAR,Isoflurane,Gaz utilisé en inhalation au cours d’anesthésie générale.,Commercialisé,N01AB06,756.00 dhs,502.00 dhs,A,,Médicament,"Anesthésie générale par inhalation, utilisable en induction et entretien.",Oui,,,,,Oui,,,,,,,,,,,,,,,,,
"AFINITOR 5 MG, Comprimé",Boite de 30,5 MG,NOVARTIS PHARMA MAROC,Evérolimus,"Antinéoplasique, inhibiteur du mTOR (mammalian Target of Rapamycin)",Commercialisé,L01EG02,11832.00 dhs,11607.00 dhs,A,,Médicament,"Traitement des femmes ménopausées atteintes d'un cancer du sein avancé, à récepteur hormonal positif, HER 2 négatif en combinaison avec l'exémestane, après l'échec du traitement par létrozole ou anastrozole.

Traitement:
des patients avec des tumeurs neuroendocrines d'origine pancréatique, avancées, progressives, bien ou modérément différenciées;
des patients avec des tumeurs neuroendocrines non fonctionnelles bien différenciées (G1 ou G2) d'origine gastro-intestinale ou pulmonaire avancées, avec progression de la tumeur cliniquement pertinente;
des patients avec des carcinomes à cellules rénales avancés après échec d'un traitement par le sunitinib ou le sorafénib.
Source : Compendium.ch - Date : 20 octobre 2025",,,,,,,,,,,,,,,,,,,,,,,
"AFLAMIC 15 MG, Comprimé",Boite de 10,15 MG,DEVA PHARMACEUTIQUE,Meloxicam,Anti-inflammatoire non stéroïdien,Commercialisé,M01AC06,35.50 dhs,22.20 dhs,A,,,"Le méloxicam est utilisé pour réduire l’inflammation et la douleur dans les articulations et les muscles.
Il est indiqué chez l’adulte et l’enfant âgé de 16 ans et plus.

MELOXICAM est utilisé dans les cas suivants :
- traitement de courte durée des douleurs aiguës d'arthrose ;
- traitement de longue durée : de la polyarthrite rhumatoïde et de la spondylarthrite ankylosante.",,,,,,,,,,,,,,,,,,,,,,,
"AFLAMIC 15 MG, Comprimé",Boite de 20,15 MG,DEVA PHARMACEUTIQUE,Meloxicam,Anti-inflammatoire non stéroïdien,Commercialisé,M01AC06,72.60 dhs,45.40 dhs,A,,,"Le méloxicam est utilisé pour réduire l’inflammation et la douleur dans les articulations et les muscles.
Il est indiqué chez l’adulte et l’enfant âgé de 16 ans et plus.

MELOXICAM est utilisé dans les cas suivants :
- traitement de courte durée des douleurs aiguës d'arthrose ;
- traitement de longue durée : de la polyarthrite rhumatoïde et de la spondylarthrite ankylosante.",,,,,,,,,,,,,,,,,,,,,,,
"AFLAMIC 15 MG, Comprimé",Boite de 30,15 MG,DEVA PHARMACEUTIQUE,Meloxicam,Anti-inflammatoire non stéroïdien,Commercialisé,M01AC06,95.80 dhs,59.90 dhs,C,,,"Le méloxicam est utilisé pour réduire l’inflammation et la douleur dans les articulations et les muscles.
Il est indiqué chez l’adulte et l’enfant âgé de 16 ans et plus.

MELOXICAM est utilisé dans les cas suivants :
- traitement de courte durée des douleurs aiguës d'arthrose ;
- traitement de longue durée : de la polyarthrite rhumatoïde et de la spondylarthrite ankylosante.",,,,,,,,,,,,,,,,,,,,,,,
"AFLAMIC 7.5 MG, Comprimé",Boite de 10,7.5 MG,DEVA PHARMACEUTIQUE,Meloxicam,Anti-inflammatoire non stéroïdien,Commercialisé,M01AC06,26.20 dhs,16.30 dhs,A,,,"Le méloxicam est utilisé pour réduire l’inflammation et la douleur dans les articulations et les muscles.
Il est indiqué chez l’adulte et l’enfant âgé de 16 ans et plus.

MELOXICAM est utilisé dans les cas suivants :
- traitement de courte durée des douleurs aiguës d'arthrose ;
- traitement de longue durée : de la polyarthrite rhumatoïde et de la spondylarthrite ankylosante.",,,,,,,,,,,,,,,,,,,,,,,
"AFLAMIC 7.5 MG, Comprimé",Boite de 20,7.5 MG,DEVA PHARMACEUTIQUE,Meloxicam,Anti-inflammatoire non stéroïdien,Commercialisé,M01AC06,46.70 dhs,29.20 dhs,A,,,"Le méloxicam est utilisé pour réduire l’inflammation et la douleur dans les articulations et les muscles.
Il est indiqué chez l’adulte et l’enfant âgé de 16 ans et plus.

MELOXICAM est utilisé dans les cas suivants :
- traitement de courte durée des douleurs aiguës d'arthrose ;
- traitement de longue durée : de la polyarthrite rhumatoïde et de la spondylarthrite ankylosante.",,,,,,,,,,,,,,,,,,,,,,,
"AFLAMIC 7.5 MG, Comprimé",Boite de 30,7.5 MG,DEVA PHARMACEUTIQUE,Meloxicam,Anti-inflammatoire non stéroïdien,Commercialisé,M01AC06,66.40 dhs,41.50 dhs,A,,,"Le méloxicam est utilisé pour réduire l’inflammation et la douleur dans les articulations et les muscles.
Il est indiqué chez l’adulte et l’enfant âgé de 16 ans et plus.

MELOXICAM est utilisé dans les cas suivants :
- traitement de courte durée des douleurs aiguës d'arthrose ;
- traitement de longue durée : de la polyarthrite rhumatoïde et de la spondylarthrite ankylosante.",,,,,,,,,,,,,,,,,,,,,,,
"AFLOX 250 MG, Comprimé",Boite de 10,250 MG,SYNTHEMEDIC,Ciprofloxacine,"Antibiotique, fluoroquinolone",Commercialisé,J01MA02,33.60 dhs,21.00 dhs,A,,Médicament,"La ciprofloxacine est indiquée dans le traitement des infections suivantes. Il convient de tenir compte des recommandations officielles concernant l'utilisation appropriée des antibiotiques.

Avant le début du traitement, il faut tenir compte en particulier des informations disponibles relatives aux résistances, en particulier des recommandations d'utilisation visant à éviter l'augmentation de la résistance aux antibiotiques.

Dans le cas des infections non compliquées, la ciprofloxacine ne sera utilisé que lorsque d'autres antibiotiques qui sont habituellement recommandés pour le traitement initial des infections en question sont considérés comme inappropriés ou ont échoué.

Adultes
• Infections des voies respiratoires inférieures provoquées par des bactéries à Gram négatif
o Exacerbations de la bronchopneumopathie chronique obstructive (BPCO)
o Infections bronchopulmonaires en cas de fibrose kystique ou de bronchectasie
o Pneumonie
• Otite moyenne purulente chronique
• Aggravation aiguë de la sinusite chronique, en particulier lorsqu'elle est provoquée par des bactéries à Gram négatif
• Infections urinaires
• Infections génitales à condition que des souches de Neisseria gonorrhoeae résistantes à la ciprofloxacine aient pu être exclues.
o Urétrite et cervicite à gonocoques
o Orchi-épididymite
o Affections inflammatoires pelviennes (PID)
• Infections du tube digestif (par ex. diarrhée de voyage)
• Infections intra-abdominales
• Infections de la peau et des tissus mous dues à des bactéries à Gram négatif
• Otite externe maligne
• Infections osseuses et articulaires
• Prévention d'infections invasives à Neisseria meningitidis
• Inhalation d'agents de la maladie du charbon (prophylaxie post-exposition et traitement)
La ciprofloxacine convient au traitement des patients neutropéniques avec fièvre, si l'on soupçonne que la fièvre est causée par une infection bactérienne.
Enfants et adolescents
• Infections bronchopulmonaires provoquées par Pseudomonas aeruginosa chez les patients atteints de fibrose kystique.
• Chez les enfants dès 1 an comme médicament de troisième choix dans le traitement des infections urinaires compliquées et en cas de pyélonéphrite provoquée par E. coli. L'indication du traitement ne sera posée qu'en accord avec le spécialiste, soit un pédiatre infectiologue ou un infectiologue.
Chez les enfants et les adolescents, la ciprofloxacine peut également être utilisée en cas d'infections graves si ce traitement est jugé nécessaire.
Le traitement ne doit être initié que par un médecin expérimenté dans le traitement de la fibrose kystique et/ou d'infections graves chez les enfants et les adolescents.

Des études cliniques portant sur les indications susmentionnées ont été réalisées. Pour d'autres indications, l'expérience clinique est limitée.
Les enfants de moins de 6 ans doivent être traités avec une forme galénique adéquate, avec une suspension ou une perfusion de ciprofloxacine.
Charbon (adultes et enfants)
Pour la prophylaxie post-exposition et pour le traitement du charbon après inhalation du germe Bacillus anthracis. L'efficacité de la ciprofloxacine dans le charbon a été démontrée par des expérimentations chez l'animal. Chez les enfants, les adolescents et les femmes enceintes, il faut vérifier s'il n'est pas possible de passer à un traitement par (amino )pénicilline lorsqu'on dispose de l'antibiogramme de la souche de Bacillus anthracis impliquée.",,,,,,,,,,,,,,,,,,,,,,,
"AFLOX 500 MG, Comprimé",Boite de 10,500 MG,SYNTHEMEDIC,Ciprofloxacine,Antbiotique : fluoroquinolone,Commercialisé,J01MA02,55.10 dhs,34.50 dhs,A,,Médicament,"La ciprofloxacine est indiquée dans le traitement des infections suivantes. Il convient de tenir compte des recommandations officielles concernant l'utilisation appropriée des antibiotiques.

Avant le début du traitement, il faut tenir compte en particulier des informations disponibles relatives aux résistances, en particulier des recommandations d'utilisation visant à éviter l'augmentation de la résistance aux antibiotiques.

Dans le cas des infections non compliquées, la ciprofloxacine ne sera utilisé que lorsque d'autres antibiotiques qui sont habituellement recommandés pour le traitement initial des infections en question sont considérés comme inappropriés ou ont échoué.

Adultes
• Infections des voies respiratoires inférieures provoquées par des bactéries à Gram négatif
o Exacerbations de la bronchopneumopathie chronique obstructive (BPCO)
o Infections bronchopulmonaires en cas de fibrose kystique ou de bronchectasie
o Pneumonie
• Otite moyenne purulente chronique
• Aggravation aiguë de la sinusite chronique, en particulier lorsqu'elle est provoquée par des bactéries à Gram négatif
• Infections urinaires
• Infections génitales à condition que des souches de Neisseria gonorrhoeae résistantes à la ciprofloxacine aient pu être exclues.
o Urétrite et cervicite à gonocoques
o Orchi-épididymite
o Affections inflammatoires pelviennes (PID)
• Infections du tube digestif (par ex. diarrhée de voyage)
• Infections intra-abdominales
• Infections de la peau et des tissus mous dues à des bactéries à Gram négatif
• Otite externe maligne
• Infections osseuses et articulaires
• Prévention d'infections invasives à Neisseria meningitidis
• Inhalation d'agents de la maladie du charbon (prophylaxie post-exposition et traitement)
La ciprofloxacine convient au traitement des patients neutropéniques avec fièvre, si l'on soupçonne que la fièvre est causée par une infection bactérienne.
Enfants et adolescents
• Infections bronchopulmonaires provoquées par Pseudomonas aeruginosa chez les patients atteints de fibrose kystique.
• Chez les enfants dès 1 an comme médicament de troisième choix dans le traitement des infections urinaires compliquées et en cas de pyélonéphrite provoquée par E. coli. L'indication du traitement ne sera posée qu'en accord avec le spécialiste, soit un pédiatre infectiologue ou un infectiologue.
Chez les enfants et les adolescents, la ciprofloxacine peut également être utilisée en cas d'infections graves si ce traitement est jugé nécessaire.
Le traitement ne doit être initié que par un médecin expérimenté dans le traitement de la fibrose kystique et/ou d'infections graves chez les enfants et les adolescents.

Des études cliniques portant sur les indications susmentionnées ont été réalisées. Pour d'autres indications, l'expérience clinique est limitée.
Les enfants de moins de 6 ans doivent être traités avec une forme galénique adéquate, avec une suspension ou une perfusion de ciprofloxacine.
Charbon (adultes et enfants)
Pour la prophylaxie post-exposition et pour le traitement du charbon après inhalation du germe Bacillus anthracis. L'efficacité de la ciprofloxacine dans le charbon a été démontrée par des expérimentations chez l'animal. Chez les enfants, les adolescents et les femmes enceintes, il faut vérifier s'il n'est pas possible de passer à un traitement par (amino )pénicilline lorsqu'on dispose de l'antibiogramme de la souche de Bacillus anthracis impliquée.",,,,,,,,,,,,,,,,,,,,,,,
"AFLOX 750 MG, Comprimé",Boite de 10,750 MG,SYNTHEMEDIC,Ciprofloxacine,Antbiotique de la famille des fluoroquinolones,Commercialisé,J01MA02,76.60 dhs,47.90 dhs,A,,Médicament,"La ciprofloxacine est indiquée dans le traitement des infections suivantes. Il convient de tenir compte des recommandations officielles concernant l'utilisation appropriée des antibiotiques.

Avant le début du traitement, il faut tenir compte en particulier des informations disponibles relatives aux résistances, en particulier des recommandations d'utilisation visant à éviter l'augmentation de la résistance aux antibiotiques.

Dans le cas des infections non compliquées, la ciprofloxacine ne sera utilisé que lorsque d'autres antibiotiques qui sont habituellement recommandés pour le traitement initial des infections en question sont considérés comme inappropriés ou ont échoué.

Adultes
• Infections des voies respiratoires inférieures provoquées par des bactéries à Gram négatif
o Exacerbations de la bronchopneumopathie chronique obstructive (BPCO)
o Infections bronchopulmonaires en cas de fibrose kystique ou de bronchectasie
o Pneumonie
• Otite moyenne purulente chronique
• Aggravation aiguë de la sinusite chronique, en particulier lorsqu'elle est provoquée par des bactéries à Gram négatif
• Infections urinaires
• Infections génitales à condition que des souches de Neisseria gonorrhoeae résistantes à la ciprofloxacine aient pu être exclues.
o Urétrite et cervicite à gonocoques
o Orchi-épididymite
o Affections inflammatoires pelviennes (PID)
• Infections du tube digestif (par ex. diarrhée de voyage)
• Infections intra-abdominales
• Infections de la peau et des tissus mous dues à des bactéries à Gram négatif
• Otite externe maligne
• Infections osseuses et articulaires
• Prévention d'infections invasives à Neisseria meningitidis
• Inhalation d'agents de la maladie du charbon (prophylaxie post-exposition et traitement)
La ciprofloxacine convient au traitement des patients neutropéniques avec fièvre, si l'on soupçonne que la fièvre est causée par une infection bactérienne.
Enfants et adolescents
• Infections bronchopulmonaires provoquées par Pseudomonas aeruginosa chez les patients atteints de fibrose kystique.
• Chez les enfants dès 1 an comme médicament de troisième choix dans le traitement des infections urinaires compliquées et en cas de pyélonéphrite provoquée par E. coli. L'indication du traitement ne sera posée qu'en accord avec le spécialiste, soit un pédiatre infectiologue ou un infectiologue.
Chez les enfants et les adolescents, la ciprofloxacine peut également être utilisée en cas d'infections graves si ce traitement est jugé nécessaire.
Le traitement ne doit être initié que par un médecin expérimenté dans le traitement de la fibrose kystique et/ou d'infections graves chez les enfants et les adolescents.

Des études cliniques portant sur les indications susmentionnées ont été réalisées. Pour d'autres indications, l'expérience clinique est limitée.
Les enfants de moins de 6 ans doivent être traités avec une forme galénique adéquate, avec une suspension ou une perfusion de ciprofloxacine.
Charbon (adultes et enfants)
Pour la prophylaxie post-exposition et pour le traitement du charbon après inhalation du germe Bacillus anthracis. L'efficacité de la ciprofloxacine dans le charbon a été démontrée par des expérimentations chez l'animal. Chez les enfants, les adolescents et les femmes enceintes, il faut vérifier s'il n'est pas possible de passer à un traitement par (amino )pénicilline lorsqu'on dispose de l'antibiogramme de la souche de Bacillus anthracis impliquée.",,,,,,,,,,,,,,,,,,,,,,,
"AFONGIS 150 MG, Gélule",Boite de 7,150 MG,DEVA PHARMACEUTIQUE,Fluconazole,"Antifongique systémique, dérivé du triazole",Commercialisé,J02AC01,92.50 dhs,57.80 dhs,A,,Médicament,"Candidoses des muqueuses. Celles-ci comprennent l'infection de l'oropharynx et de l'œsophage ainsi que les candidoses mucocutanées et les candidoses buccales atrophiques chroniques (irritation chez les porteurs de prothèse dentaire).
Aussi bien les patients sans affections associées que les patients immunodéficients peuvent être traités.
Candidose vaginale aiguë ou récidivante.
Prophylaxie des infections à Candida chez les patients atteints de tumeurs malignes et prédisposés à ce type d'infections en raison d'une chimiothérapie anticancéreuse ou d'une radiothérapie.
Dermatomycoses, y compris Tinea pedis, Tinea corporis, Tinea cruris, infections cutanées à Candida ainsi que Pityriasis versicolor.
L'utilisation dans le traitement de l'onychomycose n'est pas documentée cliniquement.
Candidémie.
Cryptococcose méningée et prophylaxie des récidives de cette maladie chez les patients sidéens. Chez certains patients atteints de cryptococcose méningée, l'effet antifongique du fluconazole se développe plus lentement que celui de l'amphotéricine B ou de l'association d'amphotéricine B et de flucytosine, mais il n'existe cependant pas de différence significative par rapport au taux de guérison.
Le fluconazole peut également être utilisé pour traiter d'autres cryptococcoses (par exemple pulmonaire ou cutanée).
Les patients sans maladies associées, les patients sidéens, les transplantés et les autres patients immunosupprimés peuvent également être traités par fluconazole.
Le fluconazole ne doit pas être utilisé pour le traitement de la teigne (tinea capitis) chez l'enfant et l'adolescent.",,,,,,,,,,,,,,,,,,,,,,,
"AFONGIS 150 MG, Gélule",Boite de 4,150 MG,DEVA PHARMACEUTIQUE,Fluconazole,"Antifongique systémique, dérivé du triazole",Commercialisé,J02AC01,55.10 dhs,34.50 dhs,A,,Médicament,"Candidoses des muqueuses. Celles-ci comprennent l'infection de l'oropharynx et de l'œsophage ainsi que les candidoses mucocutanées et les candidoses buccales atrophiques chroniques (irritation chez les porteurs de prothèse dentaire).
Aussi bien les patients sans affections associées que les patients immunodéficients peuvent être traités.
Candidose vaginale aiguë ou récidivante.
Prophylaxie des infections à Candida chez les patients atteints de tumeurs malignes et prédisposés à ce type d'infections en raison d'une chimiothérapie anticancéreuse ou d'une radiothérapie.
Dermatomycoses, y compris Tinea pedis, Tinea corporis, Tinea cruris, infections cutanées à Candida ainsi que Pityriasis versicolor.
L'utilisation dans le traitement de l'onychomycose n'est pas documentée cliniquement.
Candidémie.
Cryptococcose méningée et prophylaxie des récidives de cette maladie chez les patients sidéens. Chez certains patients atteints de cryptococcose méningée, l'effet antifongique du fluconazole se développe plus lentement que celui de l'amphotéricine B ou de l'association d'amphotéricine B et de flucytosine, mais il n'existe cependant pas de différence significative par rapport au taux de guérison.
Le fluconazole peut également être utilisé pour traiter d'autres cryptococcoses (par exemple pulmonaire ou cutanée).
Les patients sans maladies associées, les patients sidéens, les transplantés et les autres patients immunosupprimés peuvent également être traités par fluconazole.
Le fluconazole ne doit pas être utilisé pour le traitement de la teigne (tinea capitis) chez l'enfant et l'adolescent.",,,,,,,,,,,,,,,,,,,,,,,
