dci_a,dci_b,level_fr,severity,mechanism,recommendation
APOMORPHINE,SÉTRONS,Contre-indication,MAJOR,Des hypotensions sévères et des pertes de connaissance ont été rapportées lors de l’association d’un sétron avec l’apomorphine.,
APRÉMILAST,INDUCTEURS ENZYMATIQUES,Association déconseillée,MAJOR,Diminution des concentrations plasmatiques d’aprémilast par augmentatiion de son métabolisme par l’inducteur.,
APREPITANT,ANTIVITAMINES K,À prendre en compte,MINOR,Risque de diminution de l’effet de l’antivitamine K par augmentation de son métabolisme hépatique par l’aprépitant.,
APREPITANT,ESTROPROGESTATIFS CONTRACEPTIFS,Précaution d'emploi,MODERATE,Diminution de l’efficacité contraceptive par augmentation du métabolisme hépatique du contraceptif hormonal par l'aprépitant.,"Utiliser une méthode additionnelle de type mécanique (préservatif) pendant la durée de l’association, et un cycle suivant l’arrêt de l’aprépitant."
APREPITANT,IFOSFAMIDE,À prendre en compte,MINOR,Risque d’augmentation de la neurotoxicité de l’ifosfamide.,
APREPITANT,INDUCTEURS ENZYMATIQUES PUISSANTS,Association déconseillée,MAJOR,Risque de diminution très importante des concentrations d'aprépitant.,
APREPITANT,ITRACONAZOLE,À prendre en compte,MINOR,Augmentation des concentrations d’aprépitant par diminution de son métabolisme hépatique par l’itraconazole.,
APREPITANT,PIMOZIDE,Contre-indication,MAJOR,"Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes.",
APREPITANT,PROGESTATIFS CONTRACEPTIFS,Précaution d'emploi,MODERATE,"(Sauf stérilet), diminution des concentrations du progestatif, avec risque de moindre efficacité contraceptive.","Utiliser de préférence une autre méthode contraceptive, en particulier de type mécanique, pendant la durée de l'association et un cycle suivant."
APREPITANT,RIFAMPICINE,Association déconseillée,MAJOR,Diminution très importante des concentrations d'aprépitant.,
ARIPIPRAZOLE,INDUCTEURS ENZYMATIQUES,Précaution d'emploi,MODERATE,Diminution des concentrations plasmatiques de l’aripiprazole.,Surveillance clinique et adaptation éventuelle de la posologie de l’aripiprazole pendant l’association et 1 à 2 semaines après l’arrêt de l’inducteur.
ARIPIPRAZOLE,NEUROLEPTIQUES ANTIPSYCHOTIQUES (SAUF CLOZAPINE),À prendre en compte,MINOR,"Risque de moindre efficacité, notamment de l’aripiprazole, suite à l’antagonisme des récepteurs dopaminergiques par le neuroleptique. 34",
ARSENIEUX,SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES,Association déconseillée,MAJOR,"Risque majoré de troubles du rythme ventriculaires, notamment de torsades de pointes.","Contre-indication : - avec le citalopram, la dompéridone, l'escitalopram, l'hydroxyzine et la pipéraquine. Association déconseillée: - avec les autres médicaments susceptibles de donner des torsades de pointes. Si l’association ne peut être évitée, contrôle clinique et électrocardiographique régulier."
ATALUREN,AMINOSIDES,Contre-indication,MAJOR,Risque de potentialisation de la toxicité rénale de l’aminoside.,
ATAZANAVIR,ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,À prendre en compte,MINOR,Risque de diminution des concentrations plasmatiques de l'atazanavir.,
ATAZANAVIR,ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,Association déconseillée,MAJOR,"Diminution très importante des concentrations plasmatiques de l'atazanavir, avec risque d'échec thérapeutique.",
ATAZANAVIR,BICTÉGRAVIR,Association déconseillée,MAJOR,Quadruplement des concentrations de bictégravir.,
ATAZANAVIR,BUPRENORPHINE,À prendre en compte,MINOR,"Risque de majoration ou de diminution des effets de la buprénorphine, à la fois par inhibition et accélération de son métabolisme par l’inhibiteur de protéases.",
ATAZANAVIR,ETRAVIRINE,Association déconseillée,MAJOR,Risque de diminution des concentrations plasmatiques d’atazanavir par l’étravirine.,
ATAZANAVIR,GLÉCAPRÉVIR PIBRENTASVIR,Contre-indication,MAJOR,Augmentation de l’hépatotoxicité avec la bithérapie.,
ATORVASTATINE,APALUTAMIDE,Association déconseillée,MAJOR,"Risque de diminution très importante des concentrations de l'atorvastatine, et perte d‘efficacité, par augmentation de son métabolisme hépatique par l’apalutamide.",
ATORVASTATINE,AZITHROMYCINE,Précaution d'emploi,MODERATE,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholestérolémiant.",Utiliser des doses plus faibles d’hypocholestérolémiant ou une autre statine non concernée par ce type d’interaction.
ATORVASTATINE,CICLOSPORINE,Précaution d'emploi,MODERATE,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse (diminution du métabolisme de l'hypocholestérolémiant).,"Ne pas dépasser la posologie de 10mg/jour d'atorvastatine. Si l'objectif thérapeutique n'est pas atteint à cette posologie, utiliser une autre statine non concernée par ce type d'interaction."
ATORVASTATINE,CLARITHROMYCINE,Précaution d'emploi,MODERATE,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholesterolémiant.","Utiliser des doses plus faibles d'hypocholestérolémiant. Si l'objectif thérapeutique n'est pas atteint, utiliser une autre statine non concernée par ce type d'interaction."
ATORVASTATINE,DILTIAZEM,Précaution d'emploi,MODERATE,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholestérolémiant.",Utiliser des doses plus faibles d’hypocholestérolémiant ou une autre statine non concernée par ce type d’interaction.
ATORVASTATINE,ERYTHROMYCINE,Précaution d'emploi,MODERATE,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholesterolémiant.","Utiliser des doses plus faibles d'hypocholestérolémiant. Si l'objectif thérapeutique n'est pas atteint, utiliser une autre statine non concernée par ce type d'interaction."
ATORVASTATINE,FLUCONAZOLE,Précaution d'emploi,MODERATE,Risque majoré d'effets indésirables concentration-dépendants à type de rhabdomyolyse (diminution du métabolisme hépatique de la statine).,"Utiliser des doses plus faibles de l'hypocholestérolémiant. Si l'objectif thérapeutique n'est pas atteint, utiliser une autre statine non concernée par ce type d'interaction."
ATORVASTATINE,GLÉCAPRÉVIR PIBRENTASVIR,Contre-indication,MAJOR,"Augmentation importante des concentrations plasmatiques d’atorvastatine par la bithérapie, avec risque majoré d’effets indésirables (concentration-dépendants) à type de rhabdomyolyses.",
ATORVASTATINE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,Association déconseillée,MAJOR,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l'atorvastatine).,"Utiliser des doses plus faibles d'atorvastatine. Si l'objectif thérapeutique n'est pas atteint, utiliser une autre statine non concernée par ce type d'interaction."
ATORVASTATINE,RANOLAZINE,Précaution d'emploi,MODERATE,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse par inhibition du métabolisme de l'atorvastatine par la ranolazine.,Utiliser des doses plus faibles d’hypocholestérolémiant ou une autre statine non concernée par ce type d’interaction.
ATORVASTATINE,RIFAMPICINE,Association déconseillée,MAJOR,"Diminution très importante des concentrations plasmatiques d'atorvastatine, par augmentation de son métabolisme hépatique par la rifampicine.",
ATORVASTATINE,ROXITHROMYCINE,Précaution d'emploi,MODERATE,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse.,Utiliser des doses plus faibles d’hypocholestérolémiant.
ATORVASTATINE,STIRIPENTOL,Contre-indication,MAJOR,Risque majoré d’effets indésirables (dose-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l’hypocholestérolémiant).,
ATORVASTATINE,TELITHROMYCINE,Contre-indication,MAJOR,Risque majoré d’effets indésirables (dose-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l’hypocholestérolémiant).,
ATORVASTATINE,VERAPAMIL,Précaution d'emploi,MODERATE,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholestérolémiant.","Utiliser des doses plus faibles d'hypocholestérolémiant. Si l'objectif thérapeutique n'est pas atteint, utiliser une autre statine non concernée par ce type d'interaction."
ATOVAQUONE,EFAVIRENZ,Association déconseillée,MAJOR,Diminution des concentrations plasmatiques d'atovaquone par l'inducteur enzymatique.,
ATOVAQUONE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,Association déconseillée,MAJOR,"Diminution, éventuellement très importante, des concentrations plasmatiques de l’atovaquone par augmentation de son métabolisme.",
ATOVAQUONE,RIFABUTINE,À prendre en compte,MINOR,Diminution modérée des concentrations plasmatiques d'atovaquone par l'inducteur enzymatique.,
ATOVAQUONE,RIFAMPICINE,Association déconseillée,MAJOR,Diminution des concentrations plasmatiques d'atovaquone par l'inducteur enzymatique.,
AVANAFIL,PAMPLEMOUSSE (JUS ET FRUIT),Association déconseillée,MAJOR,"Augmentation des concentrations plasmatiques de l'avanafil, avec risque d’hypotension. 37",
AZITHROMYCINE,ATORVASTATINE,Précaution d'emploi,MODERATE,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholestérolémiant.",Utiliser des doses plus faibles d’hypocholestérolémiant ou une autre statine non concernée par ce type d’interaction.
AZITHROMYCINE,CICLOSPORINE,Précaution d'emploi,MODERATE,Risque d'augmentation des concentrations sanguines de ciclosporine et de la créatininémie.,"Dosage des concentrations sanguines de la ciclosporine, contrôle de la fonction rénale et adaptation de la posologie pendant l'association et après l'arrêt du macrolide."
AZITHROMYCINE,IVABRADINE,Précaution d'emploi,MODERATE,"Risque majoré de troubles du rythme ventriculaires, notamment de torsades de pointes. De plus, risque d'augmentation des concentrations plasmatiques de l’ivabradine par augmentation de son absorption par l’azithromycine.",Surveillance clinique et ECG pendant l’association.
AZITHROMYCINE,SIMVASTATINE,Précaution d'emploi,MODERATE,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholestérolémiant.",Utiliser des doses plus faibles d’hypocholestérolémiant ou une autre statine non concernée par ce type d’interaction.
AZITHROMYCINE,SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES,Précaution d'emploi,MODERATE,"Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes.",Surveillance clinique et électrocardiographique pendant l'association.
AZTREONAM,"VALPROÏQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE",Précaution d'emploi,MODERATE,"Risque de survenue de crises convulsives, par diminution des concentrations plasmatiques de l'acide valproïque.","Surveillance clinique, dosages plasmatiques et adaptation éventuelle de la posologie de l'anticonvulsivant pendant le traitement par l'anti- infectieux et après son arrêt."
BACLOFENE,LEVODOPA,À prendre en compte,MINOR,"Risque d’aggravation du syndrome parkinsonien ou d’effets indésirables centraux (hallucinations visuelles, état confusionnel, céphalées).",
BARBITURIQUES,BENZODIAZÉPINES ET APPARENTÉS,À prendre en compte,MINOR,"Risque majoré de sédation et de dépression respiratoire pouvant entraîner coma et décès, notamment chez le sujet âgé. Il convient de limiter autant que possible les doses et la durée de l’association.",
BARBITURIQUES,MORPHINIQUES,À prendre en compte,MINOR,"Risque majoré de sédation et de dépression respiratoire pouvant entraîner coma et décès, notamment chez le sujet âgé. Il convient de limiter autant que possible les doses et la durée de l’association.",
BARBITURIQUES,OXYBATE DE SODIUM,Contre-indication,MAJOR,"Risque majoré de dépression respiratoire, pouvant être fatale en cas de surdosage.",
BÉDAQUILINE,INDUCTEURS ENZYMATIQUES,Association déconseillée,MAJOR,Diminution des concentrations plasmatiques de bédaquiline par augmentation de son métabolisme par l’inducteur. 38,
BÉLATACEPT,VACCINS VIVANTS ATTÉNUÉS,Association déconseillée,MAJOR,"Risque de maladie vaccinale généralisée, éventuellement mortelle.",
BENZODIAZÉPINES ET APPARENTÉS,BARBITURIQUES,À prendre en compte,MINOR,"Risque majoré de sédation et de dépression respiratoire pouvant entraîner coma et décès, notamment chez le sujet âgé. Il convient de limiter autant que possible les doses et la durée de l’association.",
BENZODIAZÉPINES ET APPARENTÉS,BUPRENORPHINE,À prendre en compte,MINOR,"Avec la buprénorphine utilisée en traitement de substitution : risque majoré de dépression respiratoire, pouvant être fatale.",Evaluer attentivement le rapport bénéfice/risque de cette association. Informer le patient de la nécessité de respecter les doses prescrites.
BENZODIAZÉPINES ET APPARENTÉS,CLOZAPINE,À prendre en compte,MINOR,Risque accru de collapsus avec arrêt respiratoire et / ou cardiaque.,
BENZODIAZÉPINES ET APPARENTÉS,MORPHINIQUES,À prendre en compte,MINOR,"Risque majoré de sédation et de dépression respiratoire pouvant entraîner coma et décès, notamment chez le sujet âgé. Il convient de limiter autant que possible les doses et la durée de l’association.",
BÊTA-2 MIMÉTIQUES,BÊTA-BLOQUANTS NON CARDIO-SÉLECTIFS (Y COMPRIS COLLYRES),À prendre en compte,MINOR,Risque de moindre efficacité réciproque par antagonisme pharmacodynamique.,
BÊTA-2 MIMÉTIQUES,HALOTHANE,Association déconseillée,MAJOR,"En cas d'intervention obstétricale, majoration de l'inertie utérine avec risque hémorragique ; par ailleurs, troubles du rythme ventriculaires graves, par augmentation de la réactivité cardiaque.",Interrompre le traitement par bêta-2 mimétiques si l'anesthésie doit se faire sous halothane.
BÊTA-2 MIMÉTIQUES,INSULINE,Précaution d'emploi,MODERATE,Elévation de la glycémie par le bêta-2 mimétique.,Renforcer la surveillance sanguine et urinaire.
BÊTA-2 MIMÉTIQUES,SULFAMIDES HYPOGLYCÉMIANTS,Précaution d'emploi,MODERATE,Elévation de la glycémie par le bêta-2 mimétique.,"Renforcer la surveillance sanguine et urinaire. Passer éventuellement à l'insuline, le cas échéant."
BÊTA-BLOQUANTS (SAUF ESMOLOL ET SOTALOL) (Y COMPRIS,AMIODARONE,Précaution d'emploi,MODERATE,Troubles de l'automatisme et de la conduction (suppression des mécanismes sympathiques compensateurs). 39,Surveillance clinique et ECG.
BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES),ANESTHÉSIQUES VOLATILS HALOGÉNÉS,Précaution d'emploi,MODERATE,Réduction des réactions cardiovasculaires de compensation par les bêta-bloquants. L'inhibition bêta-adrénergique peut être levée durant l'intervention par les bêta-mimétiques.,"En règle générale, ne pas arrêter le traitement bêta-bloquant et, de toute façon, éviter l'arrêt brutal. Informer l'anesthésiste de ce traitement."
BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES),ANTIHYPERTENSEURS CENTRAUX,Précaution d'emploi,MODERATE,Augmentation importante de la pression artérielle en cas d'arrêt brutal du traitement par l'antihypertenseur central.,Eviter l'arrêt brutal du traitement par l'antihypertenseur central. Surveillance clinique.
BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES),ANTI-INFLAMMATOIRES NON STÉROÏDIENS,À prendre en compte,MINOR,Réduction de l'effet antihypertenseur (inhibition des prostaglandines vasodilatatrices par les anti-inflammatoires non stéroïdiens).,
BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES),DIHYDROPYRIDINES,À prendre en compte,MINOR,"Hypotension, défaillance cardiaque chez les patients en insuffisance cardiaque latente ou non contrôlée (addition des effets inotropes négatifs). Le bêta-bloquant peut par ailleurs minimiser la réaction sympathique réflexe mise en jeu en cas de répercussion hémodynamique excessive.",
BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES),DILTIAZEM,Association déconseillée,MAJOR,"Troubles de l'automatisme (bradycardie excessive, arrêt sinusal), troubles de la conduction sino-auriculaire et auriculo-ventriculaire et défaillance cardiaque.","Une telle association ne doit se faire que sous surveillance clinique et ECG étroite, en particulier chez le sujet âgé ou en début de traitement."
BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES),DIPYRIDAMOLE,À prendre en compte,MINOR,Avec le dipyridamole par voie injectable : majoration de l'effet antihypertenseur.,
BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES),GLINIDES,Précaution d'emploi,MODERATE,Tous les bêta-bloquants peuvent masquer certains symptômes de l'hypoglycémie : palpitations et tachycardie.,"Prévenir le patient et renforcer, surtout en début de traitement, l'autosurveillance glycémique."
BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES),GLIPTINES,Précaution d'emploi,MODERATE,Tous les bêtabloquants peuvent masquer certains symptômes de l'hypoglycémie : palpitations et tachycardie.,"Prévenir le patient et renforcer, surtout en début de traitement, l'autosurveillance glycémique."
BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES),INSULINE,Précaution d'emploi,MODERATE,Tous les bêtabloquants peuvent masquer certains symptômes de l'hypoglycémie : palpitations et tachycardie.,"Prévenir le patient et renforcer, surtout en début de traitement, l'autosurveillance glycémique."
BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES),LIDOCAINE,Précaution d'emploi,MODERATE,Avec la lidocaïne utilisée par voie IV : augmentation des concentrations plasmatiques de lidocaïne avec possibilité d'effets indésirables neurologiques et cardiaques (diminution de la clairance hépatique de la lidocaïne).,"Surveillance clinique, ECG et éventuellement contrôle des concentrations plasmatiques de lidocaïne pendant l'association et après l'arrêt du bêta-bloquant. Adaptation si besoin de la posologie de la lidocaïne."
BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES),PROPAFENONE,Précaution d'emploi,MODERATE,"Troubles de la contractilité, de l'automatisme et de la conduction (suppression des mécanismes sympathiques compensateurs).",Surveillance clinique et ECG.
BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES),SULFAMIDES HYPOGLYCÉMIANTS,Précaution d'emploi,MODERATE,Tous les bêta-bloquants peuvent masquer certains symptômes de l'hypoglycémie : palpitations et tachycardie.,"Prévenir le patient et renforcer, surtout en début de traitement, l'autosurveillance glycémique."
BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES),VERAPAMIL,Association déconseillée,MAJOR,"Troubles de l'automatisme (bradycardie excessive, arrêt sinusal), trouble de la conduction sino-auriculaire et auriculo-ventriculaire et défaillance cardiaque. 40","Une telle association ne doit se faire que sous surveillance clinique et ECG étroite, en particulier chez le sujet âgé ou en début de traitement."
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,AMIODARONE,Précaution d'emploi,MODERATE,Troubles de l'automatisme et de la conduction cardiaque avec risque de bradycardie excessive.,Surveillance clinique et ECG régulière.
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,ANESTHÉSIQUES VOLATILS HALOGÉNÉS,Précaution d'emploi,MODERATE,Réduction des réactions cardiovasculaires de compensation par les bêta-bloquants. L'inhibition bêta-adrénergique peut être levée durant l'intervention par les bêta-stimulants.,"En règle générale, ne pas arrêter le traitement bêta-bloquant et, de toute façon, éviter l'arrêt brutal. Informer l'anesthésiste de ce traitement."
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,ANTICHOLINESTÉRASIQUES,Précaution d'emploi,MODERATE,Risque de bradycardie excessive (addition des effets bradycardisants).,"Surveillance clinique régulière, notamment en début d'association."
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,ANTIDÉPRESSEURS IMIPRAMINIQUES,À prendre en compte,MINOR,"Effet vasodilatateur et risque d'hypotension, notamment orthostatique (effet additif).",
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,ANTIHYPERTENSEURS CENTRAUX,Association déconseillée,MAJOR,"Diminution centrale du tonus sympathique et effet vasodilatateur des antihypertenseurs centraux, préjudiciables en cas d'insuffisance cardiaque traitée par bêta-bloquant et vasodilatateur.",
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,DIGOXINE,À prendre en compte,MINOR,"Troubles de l’automatisme (bradycardie, arrêt sinusal) et troubles de la conduction sino-auriculaire et auriculo-ventriculaire.",
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,DIHYDROPYRIDINES,À prendre en compte,MINOR,"Hypotension, défaillance cardiaque chez les malades en insuffisance cardiaque latente ou non contrôlée (effet inotrope négatif in vitro des dihydropyridines plus ou moins marqué et susceptibles de s'additionner aux effets inotropes négatifs des bêta- bloquants). La présence d'un traitement bêta-bloquant peut par ailleurs minimiser la réaction sympathique réflexe mise en jeu en cas de répercussion hémodynamique excessive.",
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,GLINIDES,Précaution d'emploi,MODERATE,Tous les bêtabloquants peuvent masquer certains symptômes de l'hypoglycémie : palpitations et tachycardie.,"Prévenir le patient et renforcer, surtout en début de traitement, l'autosurveillance glycémique."
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,INSULINE,Précaution d'emploi,MODERATE,Tous les bêtabloquants peuvent masquer certains symptômes de l'hypoglycémie : palpitations et tachycardie.,"Prévenir le patient et renforcer, surtout en début de traitement, l'autosurveillance glycémique."
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,LIDOCAINE,À prendre en compte,MINOR,Effet inotrope négatif avec risque de décompensation cardiaque.,
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,MEXILETINE,Contre-indication,MAJOR,Effet inotrope négatif avec risque de décompensation cardiaque.,
BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,NEUROLEPTIQUES,À prendre en compte,MINOR,"Effet vasodilatateur et risque d'hypotension, notamment orthostatique (effet additif). 41",
BÊTA-BLOQUANTS NON CARDIO-SÉLECTIFS (Y COMPRIS,BÊTA-2 MIMÉTIQUES,À prendre en compte,MINOR,Risque de moindre efficacité réciproque par antagonisme pharmacodynamique.,
BICTÉGRAVIR,ATAZANAVIR,Association déconseillée,MAJOR,Quadruplement des concentrations de bictégravir.,
BICTÉGRAVIR,FER,Précaution d'emploi,MODERATE,Diminution de près des deux tiers de l'absorption du bictégravir en cas d’ingestion simultanée ou à jeun.,"Prendre le bictégravir au moins 2 heures avant les sels de fer, ou en même temps qu’un repas."
BICTÉGRAVIR,INDUCTEURS ENZYMATIQUES,Association déconseillée,MAJOR,"Risque de perte d’efficacité par diminution, éventuellement importante, des concentrations de bictégravir.",Contre-indication : - avec la rifampicine Association déconseillée : - avec les autres inducteurs enzymatiques
BICTÉGRAVIR,MILLEPERTUIS,Contre-indication,MAJOR,"Diminution très importante des concentrations de bictégravir, avec risque de perte d’efficacité.",
BICTÉGRAVIR,RIFAMPICINE,Contre-indication,MAJOR,"Diminution très importante des concentrations de bictégravir, avec risque de perte d’efficacité.",
BISPHOSPHONATES,CALCIUM,Précaution d'emploi,MODERATE,Pour les sels de calcium administrés par voie orale : diminution de l'absorption digestive des bisphosphonates.,"Prendre les sels de calcium et antiacides à distance des bisphosphonates (de 30 minutes au minimum à plus de 2 heures, si possible, selon le bisphosphonate)."
BISPHOSPHONATES,FER,Précaution d'emploi,MODERATE,Pour les sels de fer administrés par voie orale : diminution de l'absorption digestive des bisphosphonates.,"Prendre les sels de fer à distance des bisphosphonates (de 30 minutes au minimum à plus de 2 heures, si possible, selon le bisphosphonate)."
BORTEZOMIB,INDUCTEURS ENZYMATIQUES,À prendre en compte,MINOR,"Diminution des concentrations du cytotoxique par augmentation de son métabolisme par l’inducteur, avec risque de moindre efficacité.",
BORTEZOMIB,INHIBITEURS PUISSANTS DU CYP3A4,Précaution d'emploi,MODERATE,"Risque de majoration des effets indésirables, notamment neurologiques, du bortezomib par diminution de son métabolisme.",Surveillance clinique et adaptation éventuelle de la posologie du bortezomib pendant la durée du traitement par l’inhibiteur enzymatique.
BOSENTAN,ANTIVITAMINES K,Précaution d'emploi,MODERATE,Diminution de l'effet de l'antivitamine K par augmentation de son métabolisme hépatique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K.
BOSENTAN,CICLOSPORINE,Contre-indication,MAJOR,Diminution importante des concentrations sanguines de la ciclosporine et augmentation des concentrations plasmatiques de bosentan.,
BOSENTAN,CYPROTERONE,Précaution d'emploi,MODERATE,Risque de diminution de l'efficacité de la cyprotérone.,"Dans ses indications comme anti-androgène, surveillance clinique et si possible adaptation de la posologie de la cyprotérone pendant l'administration avec le bosentan et après son arrêt. Dans son utilisation comme contraceptif hormonal, utiliser une méthode de contraception fiable, additionnelle ou alternative pendant la durée de l'association."
BOSENTAN,ESTROPROGESTATIFS CONTRACEPTIFS,Précaution d'emploi,MODERATE,Diminution de l’efficacité contraceptive par augmentation du métabolisme hépatique du contraceptif hormonal par le bosentan.,"Utiliser une méthode additionnelle de type mécanique (préservatif) pendant la durée de l’association, et un cycle suivant l’arrêt du bosentan."
BOSENTAN,GLIBENCLAMIDE,Précaution d'emploi,MODERATE,"Risque de moindre efficacité du glibenclamide par diminution de ses concentrations plasmatiques, en raison de l'effet inducteur du bosentan. Par ailleurs, des cas d'hépatotoxicité ont été rapportés lors de l'association.","Surveillance de la glycémie, adaptation du traitement si besoin, et surveillance des constantes biologiques hépatiques."
BOSENTAN,INDUCTEURS ENZYMATIQUES PUISSANTS,Association déconseillée,MAJOR,Risque de diminution des concentrations plasmatiques de,
BOSENTAN,INHIBITEURS PUISSANTS DU CYP3A4,Précaution d'emploi,MODERATE,"Risque majoré des effets indésirables du bosentan, notamment d’atteintes hépatiques, par diminution de son métabolisme par l'inhibiteur.",Surveillance clinique et biologique pendant l’association.
BOSENTAN,PROGESTATIFS CONTRACEPTIFS,Précaution d'emploi,MODERATE,Risque de diminution de l'efficacité du contraceptif hormonal par augmentation de son métabolisme hépatique.,"Utiliser une méthode contraceptive fiable, additionnelle ou alternative, pendant la durée de l'association et un cycle suivant."
BOSENTAN,"PROGESTATIFS NON CONTRACEPTIFS, ASSOCIÉS OU NON À UN ESTROGÈNE",Précaution d'emploi,MODERATE,Risque de diminution de l’efficacité du progestatif.,Surveillance clinique et adaptation éventuelle de la posologie du traitement hormonal pendant l’administration du bosentan et après son arrêt.
BOSENTAN,RIFAMPICINE,Association déconseillée,MAJOR,"Risque de diminution, importante pour la rifampicine, des concentrations plasmatiques de bosentan.",
BOTULIQUE (TOXINE),AMINOSIDES,Association déconseillée,MAJOR,Risque d'augmentation des effets de la toxine botulique avec les aminosides (par extrapolation à partir des effets observés au cours du botulisme). 43,Utiliser un autre antibiotique.
BRADYCARDISANTS,AUTRES BRADYCARDISANTS,À prendre en compte,MINOR,Risque de bradycardie excessive (addition des effets).,
BRADYCARDISANTS,FINGOLIMOD,Association déconseillée,MAJOR,Potentialisation des effets bradycardisants pouvant avoir des conséquences fatales. Les bêta-bloquants sont d’autant plus à risque qu’ils empêchent les mécanismes de compensation adrénergique.,"Surveillance clinique et ECG continu pendant les 6 heures suivant la première dose voire 2 heures de plus, jusqu'au lendemain si nécessaire."
BRADYCARDISANTS,OZANIMOD,Association déconseillée,MAJOR,Potentialisation des effets bradycardisants pouvant avoir des conséquences fatales. Les bêta-bloquants sont d’autant plus à risque qu’ils empêchent les mécanismes de compensation adrénergique.,Surveillance clinique et ECG pendant au moins 6 heures.
BRADYCARDISANTS,PONÉSIMOD,Association déconseillée,MAJOR,Potentialisation des effets bradycardisants pouvant avoir des conséquences fatales. Les bêta-bloquants sont d’autant plus à risque qu’ils empêchent les mécanismes de compensation adrénergique.,"Surveillance clinique et ECG continu pendant les 4 heures suivant la première dose, jusqu'au lendemain si nécessaire."
BRADYCARDISANTS,SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES,Précaution d'emploi,MODERATE,"Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes.",Surveillance clinique et électrocardiographique pendant l'association.
BRENTUXIMAB,BLEOMYCINE,Contre-indication,MAJOR,Risque de majoration de la toxicité pulmonaire.,
